Cereal Name,Manufacturer,Type,pcar,Travel (min),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
,DC Census Tracts,C,74.18836387,25.49711571,1,140,0,13,12,2,25,25,1,1
,DC Census Tracts,C,28.30374753,27.53634895,1,230,3,17,3,1,115,25,1,0.67
,DC Census Tracts,C,23.14897413,25.18928901,1,200,3,17,3,1,110,25,1,1
,DC Census Tracts,C,32.92262198,34.10856574,1,200,1,16,8,1,60,25,1,0.75
,DC Census Tracts,,39.02798233,29.58795563,,,,,,,,,,
,DC Census Tracts,,35.08424182,33.13818565,,,,,,,,,,
,DC Census Tracts,,39.19878296,31.89616253,,,,,,,,,,
,DC Census Tracts,,16.90438457,21.91232877,,,,,,,,,,
,DC Census Tracts,,47.13375796,29.99275887,,,,,,,,,,
,DC Census Tracts,,63.18347509,29.32298547,,,,,,,,,,
,DC Census Tracts,,71.3070379,28.53396389,,,,,,,,,,
,DC Census Tracts,,50.13638843,30.94367015,,,,,,,,,,
,DC Census Tracts,,23.72515125,31.94158879,,,,,,,,,,
,DC Census Tracts,,23.72685185,31.56604538,,,,,,,,,,
,DC Census Tracts,,14.9044586,25.21337497,,,,,,,,,,
,DC Census Tracts,,44.52495974,29.83471074,,,,,,,,,,
,DC Census Tracts,,40.97268488,30.37125341,,,,,,,,,,
,DC Census Tracts,,53.54213274,31.48669202,,,,,,,,,,
,DC Census Tracts,,30.11472275,29.31362725,,,,,,,,,,
,DC Census Tracts,,16.57587549,24.18999152,,,,,,,,,,
,DC Census Tracts,,58.40099938,37.31357553,,,,,,,,,,
,DC Census Tracts,,51.94805195,34.78917231,,,,,,,,,,
,DC Census Tracts,,31.8263205,21.23453736,,,,,,,,,,
,DC Census Tracts,,60.22866476,33.2244143,,,,,,,,,,
,DC Census Tracts,,41.17647059,32.38572323,,,,,,,,,,
,DC Census Tracts,,44.52554745,28.18006431,,,,,,,,,,
,DC Census Tracts,,28.67746289,24.89469862,,,,,,,,,,
,DC Census Tracts,,37.3907979,22.14133089,,,,,,,,,,
,DC Census Tracts,,63.37209302,28.605,,,,,,,,,,
,DC Census Tracts,,48.942754,32.5616151,,,,,,,,,,
,DC Census Tracts,,57.20978657,30.71876634,,,,,,,,,,
,DC Census Tracts,,5.874378671,19.17801556,,,,,,,,,,
,DC Census Tracts,,36.11658133,28.44693878,,,,,,,,,,
,DC Census Tracts,,39.67213115,30.14722537,,,,,,,,,,
,DC Census Tracts,,48.60050891,36.25517241,,,,,,,,,,
,DC Census Tracts,,49.31506849,32.30255164,,,,,,,,,,
,DC Census Tracts,,27.17520858,23.14849624,,,,,,,,,,
,DC Census Tracts,,48.59967051,33.14446653,,,,,,,,,,
,DC Census Tracts,,56.38214565,34.58196721,,,,,,,,,,
,DC Census Tracts,,26.67173252,25.79933389,,,,,,,,,,
,DC Census Tracts,,46.2478185,35.79406632,,,,,,,,,,
,DC Census Tracts,,53.58462676,34.97764531,,,,,,,,,,
,DC Census Tracts,,51.41843972,35.09025271,,,,,,,,,,
,DC Census Tracts,,38.79500367,32.74546828,,,,,,,,,,
,DC Census Tracts,,54.50716091,37.19460826,,,,,,,,,,
,DC Census Tracts,,57.54422477,37.0964247,,,,,,,,,,
,DC Census Tracts,,52.69662921,37.48013621,,,,,,,,,,
,DC Census Tracts,,61.79952644,34.71360382,,,,,,,,,,
,DC Census Tracts,,56.1752988,34.61126005,,,,,,,,,,
,DC Census Tracts,,45.44600939,30.38497653,,,,,,,,,,
,DC Census Tracts,,72.20683287,31.74119886,,,,,,,,,,
,DC Census Tracts,,58.81773399,38.17404427,,,,,,,,,,
,DC Census Tracts,,60.04645761,40.2205006,,,,,,,,,,
,DC Census Tracts,,43.04235091,33.65605659,,,,,,,,,,
