Cereal Name,Manufacturer,Type,income,Travel (min),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
,DC Census Tracts,C,148766,25.18833536,2,220,1,12,11,2,45,25,1,1
,DC Census Tracts,C,81591,24.28605654,1,250,1.5,11.5,10,1,90,25,1,0.75
,DC Census Tracts,C,133686,24.01045069,0,180,0,14,11,1,35,25,1,1.33
,DC Census Tracts,C,81128,22.98734485,1,170,1,17,6,3,60,100,1,-1
,DC Census Tracts,C,102420,24.94671901,1,170,2,20,9,3,95,100,1.3,0.75
,DC Census Tracts,C,97558,25.67216448,1,260,0,21,3,2,40,25,1,1.5
,DC Census Tracts,C,124306,21.79487179,2,150,2,12,6,2,95,25,1,0.67
,DC Census Tracts,C,99330,23.10344828,1,180,0,12,12,2,55,25,1,1
,DC Census Tracts,H,128750,22.85513756,1,0,0,16,3,2,95,25,1,-1
,DC Census Tracts,C,136797,27.83873487,2,150,3,17,13,3,160,25,1.5,0.67
,DC Census Tracts,C,108571,28.15164221,1,220,2,15,6,1,90,25,1,1
,DC Census Tracts,C,112096,21.10089186,1,190,0,15,9,2,40,25,1,0.67
,DC Census Tracts,C,72904,27.0438247,2,220,3,21,7,3,130,25,1.33,0.67
,DC Census Tracts,C,53462,33.20738636,0,170,3,18,2,3,90,25,1,-1
,DC Census Tracts,C,34761,38.92538265,2,170,1.5,13.5,10,3,120,25,1.25,0.5
,DC Census Tracts,C,121776,30.83419958,1,200,6,11,14,3,260,25,1.33,0.67
,DC Census Tracts,C,110208,27.7388535,0,320,1,20,3,3,45,100,1,1
,DC Census Tracts,C,129340,30.07364144,0,0,0,13,0,3,15,0,0.5,1
,DC Census Tracts,C,102339,24.02459016,0,0,1,10,0,3,50,0,0.5,-1
,DC Census Tracts,C,143787,25.05441354,1,135,2,14,6,3,110,25,1,0.5
,DC Census Tracts,H,120417,27.32236842,2,0,2.7,-1,-1,1,110,0,1,0.67
,DC Census Tracts,C,78375,27.49022674,1,210,5,14,12,2,240,25,1.33,0.75
,DC Census Tracts,C,59000,30.24114931,2,140,2.5,10.5,8,3,140,25,1,0.5
,DC Census Tracts,C,84726,34.06456533,0,0,2,15,6,3,110,25,1,0.5
,DC Census Tracts,C,42115,28.11702515,0,240,0,23,2,1,30,25,1,1.13
,DC Census Tracts,C,60036,29.7069209,0,290,0,22,3,1,35,25,1,1
,DC Census Tracts,C,100670,25.26461538,0,0,3,16,0,1,95,0,0.83,-1
,DC Census Tracts,C,69063,28.02655678,0,0,4,19,0,1,140,0,1,0.67
,DC Census Tracts,C,104688,29.20241459,0,0,3,20,0,1,120,0,1,0.67
,DC Census Tracts,C,82548,27.74911817,1,70,1,9,15,2,40,25,1,0.75
,DC Census Tracts,C,68750,28.97327707,0,230,1,16,3,1,55,25,1,1
,DC Census Tracts,C,57565,35.1173542,0,15,3,15,5,2,90,25,1,-1
,DC Census Tracts,C,92900,32.83642496,1,200,0,21,3,3,35,100,1,1
,DC Census Tracts,C,60911,35.44043321,1,190,4,15,14,3,230,100,1.5,1
,DC Census Tracts,C,89097,24.28160167,1,200,3,16,3,3,110,100,1,1
,DC Census Tracts,C,82847,26.88944268,1,250,0,21,3,3,60,25,1,0.75
,DC Census Tracts,C,121265,25.49711571,1,140,0,13,12,2,25,25,1,1
,DC Census Tracts,C,80500,27.53634895,1,230,3,17,3,1,115,25,1,0.67
,DC Census Tracts,C,63015,25.18928901,1,200,3,17,3,1,110,25,1,1
,DC Census Tracts,C,81356,34.10856574,1,200,1,16,8,1,60,25,1,0.75
,DC Census Tracts,,113250,29.58795563,,,,,,,,,,
,DC Census Tracts,,29542,33.13818565,,,,,,,,,,
,DC Census Tracts,,92543,31.89616253,,,,,,,,,,
,DC Census Tracts,,90625,21.91232877,,,,,,,,,,
,DC Census Tracts,,71678,29.99275887,,,,,,,,,,
,DC Census Tracts,,91307,29.32298547,,,,,,,,,,
,DC Census Tracts,,200893,28.53396389,,,,,,,,,,
,DC Census Tracts,,97500,30.94367015,,,,,,,,,,
,DC Census Tracts,,48641,31.94158879,,,,,,,,,,
,DC Census Tracts,,69190,31.56604538,,,,,,,,,,
,DC Census Tracts,,71250,25.21337497,,,,,,,,,,
,DC Census Tracts,,75742,29.83471074,,,,,,,,,,
,DC Census Tracts,,73611,30.37125341,,,,,,,,,,
,DC Census Tracts,,27031,31.48669202,,,,,,,,,,
,DC Census Tracts,,52734,29.31362725,,,,,,,,,,
,DC Census Tracts,,71458,24.18999152,,,,,,,,,,
,DC Census Tracts,,35417,37.31357553,,,,,,,,,,
,DC Census Tracts,,52411,34.78917231,,,,,,,,,,
,DC Census Tracts,,153705,21.23453736,,,,,,,,,,
,DC Census Tracts,,65387,33.2244143,,,,,,,,,,
,DC Census Tracts,,48274,32.38572323,,,,,,,,,,
,DC Census Tracts,,64235,28.18006431,,,,,,,,,,
,DC Census Tracts,,67104,24.89469862,,,,,,,,,,
,DC Census Tracts,,106897,22.14133089,,,,,,,,,,
,DC Census Tracts,,34531,28.605,,,,,,,,,,
,DC Census Tracts,,45517,32.5616151,,,,,,,,,,
,DC Census Tracts,,65046,30.71876634,,,,,,,,,,
,DC Census Tracts,,35129,19.17801556,,,,,,,,,,
,DC Census Tracts,,107448,28.44693878,,,,,,,,,,
,DC Census Tracts,,48977,30.14722537,,,,,,,,,,
,DC Census Tracts,,26125,36.25517241,,,,,,,,,,
,DC Census Tracts,,107266,32.30255164,,,,,,,,,,
,DC Census Tracts,,94688,23.14849624,,,,,,,,,,
,DC Census Tracts,,118693,33.14446653,,,,,,,,,,
,DC Census Tracts,,35370,34.58196721,,,,,,,,,,
,DC Census Tracts,,143485,25.79933389,,,,,,,,,,
,DC Census Tracts,,37344,35.79406632,,,,,,,,,,
,DC Census Tracts,,26422,34.97764531,,,,,,,,,,
,DC Census Tracts,,50188,35.09025271,,,,,,,,,,
,DC Census Tracts,,80250,32.74546828,,,,,,,,,,
,DC Census Tracts,,23132,37.19460826,,,,,,,,,,
,DC Census Tracts,,35819,37.0964247,,,,,,,,,,
,DC Census Tracts,,33333,37.48013621,,,,,,,,,,
,DC Census Tracts,,88291,34.71360382,,,,,,,,,,
,DC Census Tracts,,59630,34.61126005,,,,,,,,,,
,DC Census Tracts,,39732,30.38497653,,,,,,,,,,
,DC Census Tracts,,34157,31.74119886,,,,,,,,,,
,DC Census Tracts,,32404,38.17404427,,,,,,,,,,
,DC Census Tracts,,24735,40.2205006,,,,,,,,,,
,DC Census Tracts,,33698,33.65605659,,,,,,,,,,
