subhood,Percent,avgfare,id
Twining,0.018,17.40,199
Truxton Circle,0.303,8.89,200
Trinidad,0.196,11.89,201
Tenleytown,0.149,17.48,203
Takoma,0.078,19.23,204
River Terrace,0.031,13.91,216
Spring Valley,0.080,17.69,205
Skyland,0.020,17.03,207
Sheridan-Kalorama,0.851,9.46,209
Shepherd Park,0.028,19.98,210
Shaw,3.018,7.49,211
Rock Creek Park (north),0.004,19.56,213
Rock Creek Gardens,0.004,21.90,214
