"Owner","Type","Metric_Tons_CO2","KGSQFT_CO2"
"EQR401 MASSACHUSETTS LLC","Multifamily Housing",4071,7
"JACK I BENDER & SONS INC","Office",4050,23
"UNITED UNIONS INC","Office",4035,22
"1991 ACQUISITION FUND ONE","Office",3980,11
"2020 K CORPORATION","Office",3954,9
"WESTCHESTER CORPORATION","Multifamily Housing",3948,4
"TODD S DECKELBAUM TRUSTEE","Multifamily Housing",3926,25
"I B ASSOCIATES LIMITED PARTNERSHIP","Office",3904,10
"FRANKLIN COURT INC","Office",3883,8
"PRISA ACQUISITION LLC","Office",3869,7
"POTOMAC CREEK ASSOCIATES LP","Office",3792,10
"1101 NEW YORK HOLDINGS LLC","Office",3767,10
"EAST RIVER MZL LLC","Strip Mall",3760,26
"FEDERAL CENTER HOTEL ASSOCIATES","Hotel",3760,14
"12011225 NEW YORK AVE SPE LLC","Office",3737,7
"820 FIRST STREET FINANCIAL ASSOCIATES LLC","Office",3684,12
"HYATT EQUITIES LLC","Hotel",3675,10
"1500 K STREET LLC","Office",3660,13
"CAPITAL PARK APARTMENTS LTD PRTNSHP","Multifamily Housing",3654,7
"1200 K ST I CO LLC","Office",3617,8
"UNION STATION ASSOCIATES LTD","Office",3589,8
"BOP 799 9TH LLC","Office",3568,16
"CESC 2101 L STREET LLC","Office",3558,9
"CIM URBAN REIT PROPERTIES V LLC","Office",3538,8
"NAS TITLE HOLDING LLC","Other",3526,10
"APA 750 LLC","Office",3503,9
"WASHINGTON CENTER TRUSTEE LLC","Office",3498,10
"WATERGATE HOLDINGS I LLC","Office",3488,12
"METRO K LLC","Office",3480,15
"BERKSHIRE APARTMENTS LLC","Multifamily Housing",3459,5
"51 LINCOLN LLC","Office",3414,17
"TRINITY COLLEGE","College/University",3395,10
"THE PRESBYTERIAN HOME","Senior Care Community",3371,7
"600 SECOND ST HOLDINGS LLC","Office",3363,9
"1137 19TH STREET ASSOCIATES","Office",3349,16
"MG1333 LLC","Office",3346,12
"1615 L ST LLC","Office",3338,8
"SATELITE INC","Office",3326,32
"BLACK ENTERTAINMENT TELEVISION & DISTRICT OF COLUMBIA","Office",3307,45
"555 FOURTH STREET ASSOCIATES","Office",3291,10
"TR 2300 N STREET CORP","Office",3290,11
"S KANN SONS COMPANY","Office",3274,7
"1350 EYE COTENANT LLC","Office",3261,8
"1776 EYE SPE LLC","Office",3260,14
"1620 K LLC","Office",3246,11
"N H STREET PARTNERS HOLDINGS LLC","Office",3218,11
"NATIONAL EDUCATION ASSOCIATES","Office",3213,8
"BFP 1625 EYE CO LLC","Office",3180,8
"FEDERAL CENTER LP","Office",3153,11
"BP 1330 CONNECTICUT AVENUE LLC","Office",3149,9
"UNIVERSAL BUILDING NORTH INC","Office",3143,8
"ISTITHMAR HOTELS WASHINGTON LLC","Hotel",3131,14
"RIVER PARK MUTUAL HOMES INC","Multifamily Housing",3107,8
"LINCOLN CIRCLE ASSOCIATES LLC","Office",3100,7
"TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA","Office",3084,8
"POTOMAC CENTER CF LLC","Office",3080,7
"JEMALS DARTH VADER LLC","Office",3077,10
"BP 1333 NEW HAMPSHIRE AVE LLC","Office",3076,10
"12TH & L STREET LTD","Office",3061,9
"BOWEN BUILDING LP","Office",3053,12
"CASTLE FAMILY LP","Office",3048,12
"WRIT 2445 M LLC","Office",3048,10
"CENTER FOR PUBLIC ADMINISTRATION & SERVICE INC","Office",3041,13
"UNIVERSAL BUILDING INC","Office",3039,10
"EDWARD H KAPLAN","Multifamily Housing",3020,5
"2001 K STREET LLC","Office",3016,11
"DIAMONDROCK DC M STREET OWNER LLC","Hotel",3005,9
"MR COLUMBIA CENTER INVESTORS LLC","Office",3004,7
"1000 K LLC","Hotel",2994,13
"SENTINEL SQUARE LLC","Office",2975,7
"V N N C INC","Multifamily Housing",2959,6
"LENFANT COLONY LLC","Office",2957,9
"WASHINGTON GAS LIGHT CO","Office",2957,17
"LAFAYETTE CENTER PROPERTY LLC","Office",2956,8
"DAVID HORNSTEIN","Multifamily Housing",2944,23
"KEG ASSOCIATES I LLC","Office",2910,8
"WASHINGTON HOME INCURABLES & UNITED STATES OF AMERICA","Senior Care Community",2908,26
"25 MASSACHUSETTS AVE PROPERTY LLC","Office",2875,7
"FSP HAMILTON SQUARE LLC","Office",2868,8
"BFP 701 9TH CO LLC","Office",2854,7
"MARVIN M ROBERTSON TRUSTEE","Office",2836,9
"2000 L OWNER LLC","Office",2825,7
"BOP 650 MASS LLC","Office",2818,8
"DOYLE DUPONT LLC","Hotel",2810,18
"KAN AM 810 SEVENTH STREET LP","Office",2809,10
"LM DC HOTELS LLC","Hotel",2796,10
"BLAKE DEVELOPMENT COMPANY","Office",2790,8
"LUCY WEBB HAYES NATIONAL TRAINING SCHOOL SIBLEY MEMORIAL HOSPITAL","Medical Office",2784,20
"WASHINGTON REAL ESTATE INVESTMENT TRUST","Office",2781,10
"JAY STREET ASSOCIATES","Multifamily Housing",2767,6
"SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP","NonRefrigerated Warehouse",2766,66
"WASHINGTON DRAMA SOCIETY INC","Other  Entertainment/Public Assembly",2762,14
"1730 PENN AVE LP","Office",2758,9
"GOVERNMENT PROPERTIES INCOME TRUST LLC","Office",2749,8
"1828 L STREET ASSOCIATES LLC","Office",2740,8
"FARRAGUT CENTER LLC","Office",2740,10
"TREA 1401 LLC","Office",2730,8
"CONSORTIUM TWO 1990 K ST LLC","Office",2719,10
"GAEDEKE HOLDINGS III LTD","Office",2707,12
"CESC 1750 PENNSYLVANIA LLC","Office",2706,9
"MARFAIR JOINT VENTURE","Office",2702,12
"BEHRINGER HARVARD 1325 G STREET LLC","Office",2688,8
"OPERATING ENGINEERS FUND","Hotel",2684,10
"HMC RETIREMENT PROPERTIES","Hotel",2680,6
"70 EYE STREET ACQUISITION LLC","Multifamily Housing",2647,6
"AMERICAN UNIVERSITY","Museum",2624,21
"SQUARE 742 LLC","Multifamily Housing",2623,9
"1717 PENNSYLVANIA AVENUE LLC","Office",2620,13
"1150 17TH STREET ASSOCIATES","Office",2593,10
"USGBF WATERFRONT STATION LLC","Office",2589,9
"CONNECTICUT & K ASSOCIATES LLC","Office",2582,6
"FP 840 FIRST STREET LLC","Office",2573,9
"STARWOOD REALTY CMBS I LLC","Hotel",2569,13
"DAVENPORT HOUSE ASSOCIATES LTP","Multifamily Housing",2562,8
"WEH CAPTIOL LLC","Office",2559,8
"425 EYE STREET NW LP","Office",2543,6
"1919 M STREET ASSOCIATES","Office",2532,9
"NANCY L ANDRACSEK TRUSTEE","Multifamily Housing",2526,12
"1200 NINETEENTH STREET LLC","Office",2513,7
"KIRSTEIN GERWIRZ AND ABEL","Office",2508,12
"SNH MEDICAL OFFICE PROPERTIES TRUST","Medical Office",2503,23
"EQR1500 MASS LLC","Multifamily Housing",2501,6
"BREOF 64 NEW YORK AVE REO LLC","Office",2500,7
"BERGMANNS INC","Office",2499,8
"CAPITOL 50 ASSOCIATES","Office",2498,7
"CSREFI NEW YORK AVENUE WASHINGTON INC","Office",2489,14
"77 K STREET TOWER LLC","Office",2485,7
"RG1101 K LLC","Office",2461,8
"SCHOOL STREET ASSOCIATES","Office",2449,9
"DEKA USA K STREET LP","Office",2444,9
"CIM URBAN REIT PROPERTIES VI LP","Office",2441,10
"COMMUNICATIONS WORKERS OF AMERICA","Office",2441,11
"SILVER P LLC","Hotel",2430,10
"SRDC8 OWNER LLC","Hotel",2415,12
"EJC 1331 F STREET LLC","Office",2405,20
"REEPOFC WESTORY DC LLC","Office",2402,10
"TIBER ISLAND COOPERATIVE HOMES","Multifamily Housing",2398,8
"CNBB OWNER LLC","Office",2396,9
"G ECKLES","Office",2384,28
"I&G CAPITOL INC","Hotel",2377,13
"6TH & E ASSOCIATES LLC","Office",2375,7
"2025 M STREET ASSOCIATES LLC","Office",2369,11
"SAUL SUBSIDIARY II LTD","Office",2367,9
"WASHINGTON VALUE ADDED I LLC","Hotel",2365,12
"WELLS REIT II 80 M STREET LLC","Office",2360,7
"RIGGS BANK TRUSTEE","Office",2344,8
"1201 F STREET LLC","Office",2340,9
"AMERICAN COUNCIL ON EDUCATION","Office",2334,10
"13TH AND L ASSOCIATES","Office",2328,7
"1919 PENNSYLVANIA ASSOCIATE LLC","Office",2322,9
"SMITH PROPERTY HOLDINGS ALBAN TOWERS LLC","Multifamily Housing",2321,7
"SQUARE 537 ASSOCIATES LP","Office",2315,9
"RREEF AMERICA REIT II CORP UU","Office",2308,16
"NATIONAL SHRINE OF THE IMMACULATE CONCEPTION","Worship Facility",2307,10
"JBG/JEFFERSON COURT L L C","Office",2289,7
"SQUARE 516S OFFICE VENTURE LLC","Office",2289,9
"VEFVN CAPITOL PLAZA I LLC","Office",2286,8
"WATERFRONT CENTER LP","Office",2285,11
"HUB PROPERTIES TRUST","Office",2273,12
"RPT 1425 NEW YORK AVE LLC","Office",2256,8
"CHILDRENS CONVALESCENT HOSPITAL SICK CHILDREN","Hospital (General Medical & Surgical)",2249,20
"THE PEW CHARITABLE TRUSTS CO INC","Office",2242,9
"GLB CAPITOL PLACE III LLC","Office",2241,11
"GOOD HOPE MARKETPLACE LP","Strip Mall",2241,23
"JEMALS LAZRIV WATER LLC","Office",2230,5
"UNION SQUARE 825 PROPERTY LP","Office",2222,7
"750 NINTH STREET LLC","Office",2211,6
"MULLEN MANAGEMENT COMPANY INC","Office",2198,7
"APA TEN G LLC","Office",2192,8
"1801 PENNSYLVANIA AVENUE LLC","Office",2183,10
"UNION INVESTMENT REAL ESTATE GMBH","Office",2181,9
"MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY","Hotel",2167,11
"CTTWB ASSOCIATES LP","Office",2165,6
"UNION SQUARE 941 PROPERTY LP","Office",2164,7
"WORLD WILDLIFE FUND INC","Office",2164,9
"1301 ASSOCIATES","Office",2157,9
"WASHINGTON HOSPITAL CENTER","Medical Office",2156,25
"COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC","Office",2149,7
"IBEW HEADQUARTERS BUILDING LLC","Office",2142,7
"1215 I STREET NW ASSOCS LTD PARTNERSHIP","Office",2141,7
"SRI EIGHT FRANKLIN TOWER LLC","Office",2132,10
"CALVIN CAFRITZ ENTERPRISES","Office",2131,8
"INTERNATIONAL BROTHERHOOD OF TEAMSTERS","Office",2126,27
"BRANDYWINE APARTMENTS OF MARYLAND LLC","Multifamily Housing",2115,6
"1030 W. 15TH  LLC","Office",2114,6
"CAPITOL PARK TOWER LLC","Multifamily Housing",2100,7
"N S P VENTURES CORPORATION","Office",2099,8
"THOMAS CIRCLE C F LLC","Office",2093,9
"AMERICAN SECURITY & TRUST COMPANY","Multifamily Housing",2085,6
"MARY C H SMITH","Hotel",2084,11
"AFL & CIO TRUSTEES","Office",2080,8
"1350 CONNECTICUT AVE LP","Office",2077,11
"1101 17TH STREET ASSOCIATES LTD","Office",2064,9
"1133 FIFTEENTH STREET LLC","Office",2056,10
"SIDWELL FRIENDS SCHOOL","K12 School",2055,6
"1015 15TH STREET INC","Office",2051,11
"COLUMBIA REALTY VENTURE LLC","Medical Office",2044,15
"BGW LP","Office",2043,9
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA","Enclosed Mall",2041,7
"SHELDON B KAMINS TRUSTEES","Office",2035,14
"1000 JEFFERSON ASSOCIATES","Office",2030,13
"SOUTHEAST REALTY LLC","Office",2027,9
"VNO 1399 NEW YORK AVENUE TIC OWNER LLC","Office",2013,15
"THE MORRIS AND GWENDOLYN CAFRITZ FOUNDATION","Multifamily Housing",2006,25
"CARILLON HOUSE LP","Multifamily Housing",2005,6
"AMERICAN UNIVERSITY","Office",2000,14
"EQRJBG 2400 RESIDENTIAL LLC","Multifamily Housing",1971,7
"1225 EYE STREET NW ASSOCIATES LLC","Office",1966,8
"1440 NEW YORK AVENUE CORPORATION","Office",1950,9
"RING ASSOCIATES LLC","Office",1949,10
"DC CAP HOTELIER LLC","Hotel",1944,26
"GELMAN BUILDING LTD","Office",1944,8
"12TH & G STREETS ASSOCIATES","Office",1941,10
"MEPT 777 6TH STREET LLC","Office",1927,10
"PENTACLE LIMITED PARTNERSHIP","Multifamily Housing",1918,15
"GREENPENZ 2600 VIRGINIA AVENUE LLC","Office",1914,9
"17M ASSOCIATES & DISTRICT OF COLUMBIA","Office",1901,8
"THE FOUNDRY GEORGETOWN LLC","Office",1901,8
"ZG 1400 EYE, LLC","Office",1892,11
"GERALD D GROSNER","Office",1888,9
"VAN NESS CENTER ASSOCITES LLC","Office",1875,10
"SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP","Distribution Center",1872,20
"THE MILLS BUILDING ASSOCIATES LLC","Office",1869,11
"AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION","Office",1860,8
"5301 WISCONSIN AVENUE ASSOCIATES","Office",1857,10
"WRIT KENMORE LLC","Multifamily Housing",1850,7
"400 VIRGINIA AVENUE LLC","Office",1846,7
"CS OFFICE ONE LLC","Office",1832,5
"GPT PROPERTIES TRUST","Office",1831,11
"NINA JO ASSOCIATES LLC","Office",1830,8
"RLJ WASH TERR HOTEL LLC","Hotel",1827,12
"AMERICAN CHEMICAL SOCIETY","Office",1820,17
"1575 EYE STREET ASSOCIATES","Office",1805,9
"1101 FIFTEENTH LLC","Office",1784,11
"ASN DUPONT CIRCLE LLC","Multifamily Housing",1781,4
"WRIT 1140 CT LLC","Office",1774,9
"AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE","Office",1754,8
"CALVERT HOUSE ASSOCIATES LLC","Multifamily Housing",1754,7
"POTOMAC PLAZA APARTMENTS INC","Multifamily Housing",1751,6
"VANGUARD ASSOCIATES","Office",1751,11
"RH 12291231 25TH STREET LLC","Multifamily Housing",1741,6
"RLJ FRANKLIN SQUARE HOTEL LLC","Hotel",1739,10
"JBC FUNDS 740 LLC","Office",1734,10
"1125 15TH STREET LLC","Office",1726,6
"1747 PENNSYLVANIA AVENUE ASSOCIATES LP","Office",1719,10
"HARRINGTON HOTEL COMPANY INC","Hotel",1705,12
"JAMNES CAMPBELL COMPANY LLC","Office",1705,8
"1100 H STREET LLC","Office",1699,12
"WICAL LP","Supermarket/Grocery Store",1693,50
"FEDERAL EXPRESS CORPORATION","Distribution Center",1689,8
"DC FIRST STREET CORPORATION","Office",1677,7
"NORTHWESTERN DEVELOPMENT COMPANY B","Office",1670,8
"HAY ADAMS HOLDINGS LLC","Hotel",1659,16
"333 MARKET EXCHANGE TWO LLC AND 123 MA EXCHANGE ONE LLC","Office",1653,8
"FIRST CONGREGATIONAL UNITED CHURCH OF CHRIST","Office",1646,8
"EMBASSY/SHAW D C VENTURE","Hotel",1644,5
"JEMALS CITADEL LLC","Mixed Use Property",1643,14
"SOUTH CAPITOL HOLDINGS LLC","Hotel",1615,15
"ELEVEN HUNDRED CONN AVE ASSOCIATES LLC","Office",1611,9
"TMG ELLICOTT, LP","Multifamily Housing",1610,8
"1441 L ASSOCIATES LLC","Office",1608,8
"DORCHESTER HOUSE ASSOCIATES LLC","Multifamily Housing",1607,4
"SOUTHERN BUILDING ASSOCIATES LLP","Office",1607,9
"CHANNEL SQUARE HOUSING LLC","Multifamily Housing",1606,6
"BROOKINGS INSTITUTION","Office",1592,18
"CHAMBER OF COMMERCE OF THE USA","Office",1591,9
"PPF OFF 1601 K ST LLC","Office",1586,7
"CAVALIER APARTMENTS LP","Multifamily Housing",1582,6
"PARCEL ONE PHASE ONE ASSOCIATES","Multifamily Housing",1582,7
"I&G DC REIT INC","Office",1573,8
"NATIONAL GUARD ASSOCIATION OF THE UNITED STATES INC","Office",1556,8
"TC MASS COURT LLC","Multifamily Housing",1556,4
"NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION","Other  Entertainment/Public Assembly",1553,8
"THE AMERICAN INSTITUTE OF ARCHITECTS","Office",1541,10
"MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP","Office",1538,8
"1101 VERMONT AVE INVESTORS LLC","Office",1534,8
"DC CY OWNER LLC","Hotel",1530,10
"STREET RETAIL INC","Retail Store",1526,18
"S J GERSTENFELD","Supermarket/Grocery Store",1524,39
"JBG 2115 WISCONSIN LLC","Office",1522,7
"PR ALLEGRO LLC","Multifamily Housing",1514,6
"NATIONAL ACADEMY OF SCIENCES","Office",1507,9
"1156 FIFTEENTH LLC","Office",1506,9
"RIDDELL PROPERTIES INC","Office",1505,7
"2121 K LLC","Office",1504,8
"CONNECTICUT / DESALES PARTNERSHIP","Office",1504,8
"500 NORTH CAPITOL LLC","Office",1503,7
"L17 PARTNERSHIP","Office",1502,10
"1899 L  STREET TOWER LLC","Office",1501,9
"EDGEWOOD IV LP","Multifamily Housing",1501,4
"PENNSYLVANIA BUILDING ASSOCIATES","Office",1501,6
"DMARC 2007 CD5 1150 OFFICE LLC","Office",1498,9
"SUSAN KAHN","Office",1495,10
"1615 LLL LLC","Hotel",1491,12
"SAINT JAMES II ASSOCIATES LLC","Hotel",1480,23
"1722 EYE STREET ASSOCIATES","Office",1477,8
"VNO 1707 H STREET LLC","Office",1476,4
"CLARIDGE H COOPERTVE","Multifamily Housing",1470,4
"MEDICAL FACULTY ASSOCIATES INC","Office",1467,9
"1750 K STREET LLC","Office",1465,8
"SOUTHWEST CAPITOL ASSOCIATES LLC","Hotel",1460,8
"1090 VERMONT AVENUE NW ASSOCIATES","Office",1459,9
"PROVIDENCE HOSPITAL & DEPAUL FOUNDATION INC","Other  Specialty Hospital",1449,9
"TC 1101 PENNSYLVANIA AVENUE OWNER LLC","Office",1443,7
"THE AMERICAN UNIVERSITY","Office",1441,14
"TRIZECHAHN LLC  1400 K STREET NW","Office",1440,7
"ATLANTIC FREEHOLDS","Office",1438,7
"KNIGHTS OF COLUMBUS FAMILY LIFE BUREAU, INC","Other",1437,13
"LHO TOM JOAD CIRCLE DC LLC","Hotel",1431,10
"TRIZECHAHN LLC  1250C/2401P","Office",1430,7
"REPUBLIC 20TH STREET LLC","Office",1427,8
"SMITH PROPERTY HOLDINGS FIVE LP","Multifamily Housing",1424,4
"LIBERTY 1100 17TH STREET LP","Office",1420,9
"TRT 1300 CONNECTICUT AVE OWNER LLC","Office",1419,11
"1100 FIRST NE LLC","Multifamily Housing",1410,6
"1301 NEW YORK OWNER LLC","Office",1408,7
"YOUNG MENS CHRISTIAN ASSOCIATION OF METROPOLITAN WASHINGTON (YMCA)","Office",1407,8
"1625 MASSACHUSETTS AVENUE LLC","Office",1404,11
"SC DUPONT FEE INC","Office",1392,7
"UNITED STATES CONFERENCE OF CATHOLIC BISHOPS","Office",1392,7
"VIEW 14 INVESTMENTS LLC","Multifamily Housing",1391,5
"THE MORRIS AND GWENDOLYN CAFRITZ FOUNDATION","Office",1388,9
"CAPTAIN CO AMERICA LLC","Office",1384,9
"SHERRY TOWERS APARTMENT HOTEL LP","Hotel",1384,5
"SAINT JOHNS COLLEGE INC","Other  Education",1383,5
"PONTE GADEA OF WASHINGTON LLC","Office",1382,7
"1050 BRENTWOOD CAPITAL LP","Supermarket/Grocery Store",1380,26
"IPERS EYE ST NW DC INC","Office",1368,7
"FP 1211 CONNECTICUT AVENUE LLC","Office",1367,9
"OXFORD MANOR LP","Multifamily Housing",1360,5
"PETER N G SCHWARTZ TRUSTEES","Multifamily Housing",1360,6
"601 NEW JERSEY AVE LLC","Office",1358,5
"UNIVERSITY CLUB DC INC","Hotel",1351,17
"JBG/1233 20TH STREET LLC","Office",1349,8
"1600 I STREET CORPORATION","Office",1348,10
"RIDC LLC","Hotel",1348,8
"300 SEVENTH ST NY OWEN, LLC","Office",1344,9
"CHR LLC","Supermarket/Grocery Store",1340,19
"SMITH PROPERTY HOLDINGS KENMORE LP","Multifamily Housing",1338,5
"W M A T A","Multifamily Housing",1332,14
"C L NORRIS TRUSTEES & J S NORRIS TRUSTEES","Office",1331,7
"RS WASHINGTON CORPORATION","Office",1330,9
"ALECTA PENSIONS FORSAKRING, OMSESIDIGT","Office",1327,7
"MSP 2001 L STREET LLC","Office",1319,7
"1133 20TH ST BUILDING CORP","Office",1317,10
"1600 MARYLAND AVENUE LLC","Multifamily Housing",1306,6
"2099 OWNER LP","Office",1298,5
"LHO WASHINGTON HOTEL SIX LLC","Hotel",1295,9
"2000 K, LLC","Office",1288,9
"100 EYE STREET ACQUISITION LLC","Multifamily Housing",1278,5
"1899 PENN OWNER LP","Office",1274,6
"CLPFCC PAVILION LP","Office",1273,6
"NBL ASSOCIATES LP","Office",1273,11
"NATIONAL PRESBYTERIAN CHURCH INC","Worship Facility",1263,11
"R B ASSOCIATES INC","Office",1259,13
"BOND WASHINGTON LLC","Office",1256,7
"RLJ III HS WASHINGTON DC LLC","Hotel",1255,8
"2033 K STEET LP","Office",1252,9
"RAR21800 K ST NW DC,INC","Office",1251,6
"WESTBROOKE PLACE LP","Multifamily Housing",1247,6
"MILLBANK PARTNERS MASS AVE LIMITED PARTNERSHIP","Hotel",1239,12
"515 22ND STREET LIMITED PARTNERSHIP","Office",1238,12
"T C ELLINGTON LLC","Multifamily Housing",1231,5
"AMERICAN COLLEGE OF SURGEONS","Office",1229,7
"GBSK LLC","Multifamily Housing",1223,7
"WASHINGTON METROPOLITAN AREA TRANSITY AUTHORITY","Multifamily Housing",1222,3
"MCPRANDLE ASSOCIATES LP","Multifamily Housing",1219,7
"STODDARD BAPTIST HOME INC","Senior Care Community",1215,21
"SHOREHAM WEST COOPERATIVE APARTMENTS INC","Multifamily Housing",1209,5
"METHODIST HOME OF D C INC","Senior Care Community",1208,15
"MACYS RETAIL HOLDINGS INC","Retail Store",1205,4
"251 MASSACHUSETTS AVENUE LLC","Office",1204,13
"WASHINGTON H STREET ASSOCIATES LLC","Multifamily Housing",1192,7
"MANUFACTURERS LIFE INSURANCE COMPANY","Office",1191,9
"J F HORNING","Multifamily Housing",1189,6
"AMERICAN UNIVERSITY AT CONNECTICUT AVENUE LLC","Office",1188,12
"B FRANKLIN KAHN TRUSTEES","Multifamily Housing",1187,7
"DOUGLAS H DORITY","Office",1183,6
"COSMOS CLUB","Other",1180,12
"1901 L STREET LLC","Office",1171,8
"AT WASHINGTON DC LLC","Financial Office",1170,8
"HORNING ASSOCIATES","Multifamily Housing",1161,6
"THEOLOGICAL COLLEGE INC","College/University",1158,8
"900 F STREET ASSOCIATES LLC","Hotel",1157,9
"3900 WATSON PLACE NW INC","Multifamily Housing",1156,4
"1620 EYE LLC","Office",1152,10
"ENVOY ASSOCIATES LTD PTSP","Multifamily Housing",1146,4
"POST 1499 MASSACHUSETTS LLC","Multifamily Housing",1146,5
"URBAN ADVENTURES OF WASH INC","Fitness Center/Health Club/Gym",1146,25
"KITA WASHINGTON CENTER LLC","Office",1144,9
"NANCY L ANDRACSEK TRUSTEE","Office",1143,9
"PARKWAY PLAZA ASSOCIATES","Multifamily Housing",1143,18
"PHOENIX PARK HOTEL OPERATING LLC","Hotel",1137,11
