"","VIOLATION_DESCRIPTION","freq"
"42","FAIL TO PROPERLY DISPLAY INSPECTION STICKER SIGN",9
"43","FAIL TO PROPERLY DISPLAY MULTISPACE METER RECEIPT",61
"44","FAIL TO REGISTER APPORTIONABLE VEHICLE UNDER IRP",83
"45","FAIL TO REMOVE EXPIRED RESIDENTIAL PARKING PERMIT",14
"46","FAIL TO REPORT FOR INSPECTION.",24828
"47","FAIL TO SECURE TAGS IN THE DISTRICT OF COLUMBIA",227
"48","FAIL TO SET EMERGENCY BRAKE",12
"49","FAIL TO TURN WHEEL TO CURB.",50
"50","FAILURE TO DISPLAY CURRENT TAGS",102983
"51","FAILURE TO DISPLAY MULI-SPACE RECEIPT PROPERLY BZ",6
"52","FAILURE TO SECURE DC TAGS",67981
"53","FAILURE TO TRANSFER TITLE AS REQUIRED",1
"54","FORGED TEMPORARY PARKING PLACARD",4
"55","FORGED VISITOR PARKING PLACARD",30
"56","GOVERNMENT VEHICLE PARKING ONLY",3068
"57","ILLEGAL AT METER",2
"58","ILLEGAL AT METER BALL PARK EVENT",28
"59","ILLEGIBLE TAGS.",19
"60","IMPROP DISPLAY MULTISPACE RCPT IN LOADING ZONE",10
"61","IMPROPER DISPLAY OF TAGS",2871
"62","IMPROPERLY DISPLAYED TAGS",23
"63","IMPROPERLY USING A TAXICAB OR LIMOUSINE STAND (PRI",14
"64","IN VIOLATION OF PEDESTRIAN CONTROL REGULATION",5
"65","INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP",2650
"66","LENGTH OVER 40 FEET / 55 FEET",1
"67","LIMOUSINE PARKED ON HACK STAND",16
"68","LOADS NOT SECURED",11
"69","MAKING NON EMERGENCY REPAIRS ON ROADWAY",11
"70","METER ADDL PAYMENT TO EXTEND TIME BEYOND LIMIT BZ",2
"71","METER BALL PARK EVENT, DEPOSIT ADDITONAL PAYMENT",2
"72","METER BALL PARK EVENT, FAIL TO DEPOSIT PAYMENT",38
"73","METER ILLEGAL PARKING IN BALLPARK ZONE",16
"74","METER, FAIL TO DEPOSIT PAYMENT",2130
"75","MOTOR CARRIER DRIVER VIOLATION OUT OF SERVICE",2
"76","MOTOR RUNNING UNATTENDED",640
"77","NO FRONT TAGS.",40071
"78","NO PARKING 7 AM TO 6:30 PM",2611
"79","NO PARKING ANYTIME",90012
"80","NO PARKING EXC. ELECTRIC VEHICLE BEING CHARGED",44
"81","NO PARKING SPECIFIC HOURS",18474
"82","NO PARKING STREET CLEANING",151728
"83","NO REAR BUMPER",2
"84","NO REAR LIGHTS.",6
"85","NO REAR TAGS.",6844
"86","NO SNOW TIRES OR CHAINS",2
"87","NO STANDING ANYTIME",58432
"88","NO STANDING COMMERCIAL VEHICLE",328
"89","NO STOPPING ANYTIME",9280
"90","NO STOPPING OR STANDING ANYTIME",7757
"91","NO STOPPING OR STANDING IN AM RUSH HOUR ZONE",57096
"92","NO STOPPING OR STANDING IN PM RUSH HOUR ZONE",123790
"93","NON-TAXI ON HACK STAND",3336
"94","NOT PARKED IN A METER SPACE",8175
"95","NOT PARKED IN PARKING METER SPACE BE",14
"96","NOT PARKED IN PARKING METER SPACE BZ",21
"97","OBSTRUCT AN INTERSECTION",197
"98","OBSTRUCTED TAGS.",249
"99","OBSTRUCTING CROSSWALK",7531
"100","OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE",605
"101","OBSTRUCTING FIRE ESCAPE",22
"102","OPP OR BESIDE CONTRUCTION SITE OBSTRUCTING TRAFFIC",1018
"103","OVERSIZED COMM VEHICLE PARKED AT A METER",818
"104","OVERSIZED VEHICLE AT METER BALL PARK EVENT",12
"105","OVERSIZED VEHICLE AT METER BZ",10
"106","OVERTIME AT A MULTISPACE METER IN A LOADING ZONE",681
"107","OVERTIME AT METER BALLPARK EVENT",4
"108","OVERTIME AT METER BZ",4
"109","OVERTIME BALL PARK EVENT",54
"110","OVERTIME PARKING IN A LOADING ZONE METER SPACE",7
"111","PARK ABREAST OF ANOTHER VEHICLE",19327
"112","PARK AT CURB IN LOADING ZONE",24
"113","PARK AT EXPIRED METER",260933
"114","PARK BETWEEN ISLAND OR SAFETY ZONE",154
"115","PARK FOR PURPOSE OF VEHICLE SALE OR REPAIR",8
"116","PARK IN A BUS ZONE",36918
"117","PARK IN A CURB LOADING ZONE",4
"118","PARK IN A DESIGNATED ENTRANCE",20400
"119","PARK IN A FIRE LANE",1411
"120","PARK IN A GUTTER",1
"121","PARK IN AN UNDESIGNATED SPACE",189
"122","PARK IN AN UNLIGHTED AREA (PARKING AREA)",8
"123","PARK IN BUS STOP OR ZONE DURING RUSH HOUR",14
"124","PARK IN MEDIAN, ISLAND, OR SAFETY ZONE",1397
"125","PARK IN OFFICIAL PARKING PERMIT ONLY SPACE",9839
"126","PARK IN RESERVED EMBASSY SPACE",2048
"127","PARK IN RESERVED SPACE",339
"128","PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY",7151
"129","PARK IN SCHOOL ZONE",4898
"130","PARK LESS THAN 25 FEET FROM AN INTERSECTION",5922
"131","PARK LESS THAN 40 FEET FROM AN INTERSECTION",6553
"132","PARK MORE THAN 12 INCHES FROM CURB",1683
"133","PARK MORE THAN 72 HOURS",4
"134","PARK ON A LAWN",58
"135","PARK ON MEDIAN, ISLAND, OR SAFETY ZONE",356
"136","PARK ON OR UNDER AN ELEVATED STRUCTURE",408
"137","PARK ON PRIVATE OR PUBLIC PROPERTY",111
"138","PARK ON PUBLIC SPACE",8450
"139","PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS",2286
"140","PARK ON SIGHTSEEING STAND",53
"141","PARK ON TAXICAB STAND",1368
"142","PARK OVERTIME AT A METER",67426
"143","PARK OVERTIME IN TIMED ZONE",41636
"144","PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET",421
"145","PARK TOO CLOSE APPROACHING INTERSECTION",12
"146","PARK VEHICLE IN FRONT OF A BARRICADE",1332
"147","PARK WITH LEFT WHEEL TO THE CURB",4896
"148","PARK WITHIN 10 FEET OF A FIRE HYDRANT",22342
"149","PARK WITHIN 20 FEET OF A BUS STOP OR ZONE",690
"150","PARK WITHIN 20 FEET OF A FIREHOUSE ENTRANCE",70
"151","PARK WITHIN 25 FEET OF A MAILBOX",67
"152","PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY",31034
"153","PARK WITHIN TWENTY FIVE FEET FROM A YIELD SIGN",59
"154","PARKED IN A RESERVED CAR SHARING SPACE",220
"155","PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK",2280
"156","PARKED LESS THAN 3 FEET FROM ANOTHER VEHICLE",85
"157","PARKED ON DESIGNATED VENDOR AREA",4124
"158","PARKED WITHIN 25 FEET OF A STOP SIGN",37513
"159","PARKING MISC",57
"160","PARKING ON SNOW EMERGENCY ROUTE WHEN PROHIBITED",5895
"161","PERMIT UNLICENSED HACKER",154
"162","RELOCATE TOW FEE",31273
"163","RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES",2938
"164","RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT",154187
"165","RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR",17929
"166","RESIDENTIAL PMT PKG 3RD OFFENSE BALLPARK EVENT",4
"167","RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR",22689
"168","RESIDENTIAL PMT PKG BALLPARK ZONE 2ND OFF CAL YR",71
"169","RPP BALLPARK ZONE 3RD OFFENSE CALENDAR YEAR",107
"170","RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BE",66
"171","RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BZ",284
"172","RPP FAIL TO PROPERLY DISPLAY CURRENT STICKER BE",2
"173","RPP FAIL TO PROPERLY DISPLAY CURRENT STICKER BZ",2
"174","RPP FAIL TO REMOVE EXPIRED STICKER BALL PARK ZONE",4
"175","RPP FAIL TO REMOVE EXPIRED STICKER BALLPARK EVENTS",1
"176","STAND OR PARK IN ALLEY",37718
"177","STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE",6760
"178","STREETCAR-PARK, STOP STAND VEH GUIDEWAY/PLATFORM",1261
"179","TAXICAB CRUISING LIGHTS",21
"180","TAXICAB DISPLAYING IMPROPER INSIGNIA",2
"181","TAXICAB FAIL TO DISPLAY LICENSE",6
"182","TAXICAB FAIL TO DISPLAY PROPER INSIGNIA",4
"183","TAXICAB FAIL TO EXHIBIT LICENSE",24
"184","TAXICAB FAIL TO HAVE DC TAXICAB COMMISSION LICENSE",13
"185","TAXICAB FAIL TO PULL TO CURB",12
"186","TAXICAB FAIL TO REMOVE ID",2
"187","TAXICAB FAIL TO UPDATE CHANGE OF ADDRESS",2
"188","TAXICAB FAIL TO USE CRUISING LIGHTS",1
"189","TAXICAB FAKE LICENSE",2
"190","TAXICAB IMPROPER USE OF OFF DUTY SIGN",2
"191","TAXICAB IMPROPER USE OF ON CALL SIGN",2
"192","TAXICAB LOITERING.",1761
"193","TAXICAB NO MANIFEST",2
"194","TAXICAB PARKED 100 FEET FROM STAND",3
"195","TAXICAB PARKED OFF TAXI STAND",10
"196","TAXICAB SOLICITING FARE",6
"197","TINTED WINDOWS",29
"198","TINTED WINDOWS , FAIL TO COMPLY 1ST",2
"199","TINTED WINDOWS FAIL TO COMPLY 2ND",2
"200","TRAILER, FRT DWELLING, SCHOOL, HOSPITAL",46
"201","UNAUTHORIZED USE OF SPECIAL PERMIT OR TAG (HP)",4
"202","UNAUTHORIZED VEHICLE IN LOADING ZONE",76013
"203","UNKNOWN",2
"204","UNSAFE MECHANICAL CONDITION",18
"205","UNSAFE TIRES",12
"206","VALET PARKING/STAGING ZONE",1233
"207","VEH > 8 WIDE PUBLIC ST, FRT DWELLING, SCHOOL,HOSP",7
"208","VEH >15 PASS, PUBLIC ST FRT DWELLING, SCH, HOSP,",40
"209","VEHICLE > 22 PUBLIC ST FRT DWELLING,SCHOOL, HOSP",223
"210","VEHICLE HAUL TRASH, DEBRIS OR JUNK",62
"211","VEHICLE ON PRIVATE/PUBLIC PROP W/O CONSENT 3D OFF",2
"212","VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT",23047
"213",NA,79956
