LOT,LOT_TYPE,OWNERNAME,CAREOFNAME,ADDRESS1,ADDRESS2,CITYSTZIP,PROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KWH,NATURALGASUSE_THERMS,LATITUDE,LONGITUDE
1,1, , , , , ,Cloisters I-II,100 MICHIGAN AVENUE NE,CONDOMAIN 3020,1985,Multifamily Housing,346210,0,2.1,0,0,6.6,91.5,0.26429046,,211704,0,38.92691588,-77.00864846
1,1, , , , , ,4000 Tunlaw Condo,4000 TUNLAW RD NW,4000 TUNLAW RD CONDO,1960,Multifamily Housing,227228,0,75.8,0,0,140.6,1447.9,6.372014012,,1762210.6,112116.5,38.92511423,-77.08098529
32,1, , , , , ,The Valley Vista Condominium,2031 BELMONT RD NW,VALLEY VISTA CONDOMINIUM,1928,Multifamily Housing,116748,0,29.9,0,0,40.5,442.13,3.787045602,,151189.2,69376,38.91968347,-77.04859145
35,1, , , , ,",",22 West A Condominium,1177 22ND ST NW,22 WEST CONDO,2008,Multifamily Housing,143478,0,77.7,0,0,181,1759.95,12.26634048,,2743963.6,81606.7,38.90449829,-77.04862051
65,1, , , , , ,The Shops at Georgetown Park,3222 M ST NW,AG GEORGETOWN PARK HOLDINGS I L L C,1987,Office,342866,86,44,0,0,147,2136.92,6.232522327,,4422714,0,38.90469038,-77.06369525
158,1, , , , ,",",The K @ City Vista,0475 K ST NW,THE K @ CITY VISTA CONDO,2008,Multifamily Housing,257730,0,28.4,0,0,47.7,689.4,2.674892329,,800882.3,64699.256,38.90272687,-77.01841109
35,1, , , , , ,901 K Street (DDOE),901 K STREET NW,901 K ST CONDO,2009,Office,201715,96,39.2,0,0,130.9,1585.61,7.860644969,,3281681.5,0,38.90287498,-77.02565829
51,1, , , , ,",",400 Massachsetts Ave Condominium,0400 MASSACHUSETTS AVE NW,400 MASS AVE CONDOMINIUMS,2004,Multifamily Housing,249966,0,49.6,0,0,106.2,1140.94,4.564380756,,1594559,69643.4,38.89995468,-77.01723805
40,1, , , , , ,Terrell Place,575 7TH STREET NW,THE OFFICES @ TERRELL PLACE,2003,Office,455476,79,68.5,0,0,202.9,4450.1,9.770218409,,9905927,32009.371,38.89697111,-77.0214743
24,1, , , , , ,The Lansburgh,425 8TH STREET NW,COMMERCIAL CONDOS13,1991,Multifamily Housing,507385,0,68.6,0,0,176.1,3705.7,7.303526908,,7401859,95627.11,38.89564604,-77.02262861
836,2, , , , ,",",L Enfant Plaza - EAST,0420 10TH ST SW,POTOMAC CREEK ASSOCIATES LP,1905,Office,388242,67,97,0,0,251.1,9184.24,23.65596715,,16130517,261369,38.88392262,-77.02361679
107,1, , , , , ,Town Square Towers,0700 7TH ST SW,TOWN SQUARE TOWERS CONDO,1967,Multifamily Housing,239118,0,65.8,0,0,131.6,1867.38,7.809449728,,2523430,121831,38.87942508,-77.02171208
138,1, , , , ,",",Jenkins Row Condominium,1391 PENNSYLVANIA AVE SE,JENKINS ROW CONDOMINIUM,2007,Multifamily Housing,220808,0,12.7,0,0,39.8,354.2,1.604108547,,819769,0,38.87970913,-76.98778321
302,1, , , , , ,"Carrollsburg, A Condominium",0240 M ST SW,THE CARROLLSBURG CONDO,1974,Multifamily Housing,305599,0,92.3,0,0,151.9,3392.67,11.10170518,,3322292,335985.8,38.87493101,-77.0173527
818,2,100 EYE STREET ACQUISITION LLC,BOZZUTO MGMT,6406 IVY LN # 700, ,"GREENBELT, MD 20770-1441",100 Capitol Yards,100 I ST,100 EYE STREET ACQUISITION LLC,2008,Multifamily Housing,281205,84,35,35,108,108,1278,4.544727156,"7,450",2797243,0,38.87963724,-77.00646957
78,1,1000 JEFFERSON ASSOCIATES, ,1666 K ST NW STE 430, ,"WASHINGTON, DC 20006-1223",1000 Thomas Jefferson Street NW,1000 THOMAS JEFFERSON ST NW,1000 JEFFERSON ASSOCIATES,1980,Office,207744,49,94.9,94.9,297.9,297.8,1859.7,8.951883087,5145.8,4303986,0,38.90284297,-77.06062606
23,1,1000 K LLC,PAT INTERNATL PENSION,7234 PARKWAY DR, ,"HANOVER, MD 21076-1307",Embassy Suite Convention Center Hotel,1000 K ST,1000 K LLC,2005,Hotel,227934,74,98.5,98.8,173.4,173.8,1753.2,7.691700229,16045.1,2238852,148070.993,38.90194503,-77.0263095
800,2,1000 VERMONT AVENUE SPE LLC,NATIONAL MINORITY AIDS COUNCIL,1000 VERMONT AVE NW STE 200, ,"WASHINGTON, DC 20005-4913",1000 Vermont Avenue SPE LLC,1000 VERMONT AV NW,1000 VERMONT AVENUE SPE LLC,1950,Office,103407,71,52,52,163,163,621,6.005396153,"1,828",1358940,0,38.90286615,-77.03393382
3,1,1001 CONNECTICUT AVENUE LLC,ZUCKERMEN GRAVELY,2 WISCONSIN CIR STE 1050, ,"CHEVY CHASE, MD 20815-7026",1001 Connecticut Avenue,1001 CONNECTICUT AV NW,1001 CONNECTICUT AVENUE LLC,1953,Office,171080,0,51,51,121,120,956,5.588028992,"3,388",1600333,1465,38.90289246,-77.03916748
27,1,1010 VERMONT AV SPE LLC,JONES LONG LASALLE AMERICA INC,1201 NEW YORK AVE NW STE 100, ,"WASHINGTON, DC 20005-6192",1010 Vermont Avenue SPE LLC,1010 VERMONT AV NW,1010 VERMONT AV SPE LLC,1927,Office,75579,50,59.4,59.4,186.5,186.5,518.9,6.865663743,1559.6,1200806,0,38.90310983,-77.03386215
33,1,1015 15TH STREET INC,LPC COMMERCIAL SERVICE INC,1015 15TH ST NW # LL100, ,"WASHINGTON, DC 20005-2605",1015 15th Street,1015 15TH ST NW,1015 15TH STREET INC,1979,Office,252721,62,79.6,79.6,247.4,247.4,1928.1,7.629362024,4354.9,4435311,2208.344,38.90288192,-77.03423718
52,1,1015 18TH STREET OWNER LLC, ,53 MAPLE AVE, ,"MORRISTOWN, NJ 07960-5219",1015 18th St.,1015 18TH ST NW,1015 OB ASSOCIATES LLC,1970,Office,139664,49,74.1,74.1,232.5,232.5,948.2,6.789151106,2116.4,2194398,0,38.90316401,-77.04133843
72,1,1025 THOMAS JEFFERSON INC, ,1025 THOMAS JEFFERSON ST NW, ,"WASHINGTON, DC 20007-5201",1025 Thomas Jefferson Street,1025 THOMAS JEFFERSON ST NW,JBG/JEFFERSON COURT L L C,1984,Office,451939,90,53.6,53.6,168.3,168.3,2145.3,4.746879557,4667,4964955,0,38.90318352,-77.05962329
47,1,1025 VERMONT AVENUE LLC, ,1776 EYE ST NW STE 500, ,"WASHINGTON, DC 20006-3716",1025 Vermont (DDOE),1025 VERMONT AV NW,1025 VERMONT AVENUE LLC,1963,Office,171345,81,66,66.3,180.8,181,882,5.147509411,1588.8,1857112,14992.724,38.90330875,-77.03292487
802,2,1050 BRENTWOOD CAPITAL LP, ,3307 M ST NW STE 200, ,"WASHINGTON, DC 20007-3539",0375 Washington,1050 BRENTWOOD RD,1050 BRENTWOOD CAPITAL LP,2001,Supermarket/Grocery Store,52758,56,225,224,600,599,1380,26.15717048,"2,623,535",2706674,26958,38.91940519,-76.9922277
34,1,1090 VERMONT AVENUE NW ASSOCIATES LP,TF CORNERSTONE INC,387 PARK AVE S FL 7, ,"NEW YORK, NY 10016-8810",1090 Vermont Avenue NW,1090 VERMONT AV NW,1090 VERMONT AVENUE NW ASSOCIATES,1982,Office,229257,83,67,67,210,210,1459,6.364036867,"2,398",3193870,0,38.90342794,-77.03367752
863,2,1100 15TH STREET LLC, ,1100 15TH ST NW STE 500, ,"WASHINGTON, DC 20005-1793",The Washington Post,1150 15TH ST,THE WASHINGTON POST COMPANY,1970,Office,456602,0,122.7,0,0,320.5,6204.2,13.58776352,,12526430,149175.482,38.9043664,-77.03530625
822,2,1100 H STREET LLC, ,1054 31ST ST NW, ,"WASHINGTON, DC 20007-4403",Gaslight Building,1100 H ST NW,1100 H STREET LLC,1942,Office,146986,48,94.7,94.4,257.1,256.8,1554.4,10.57515682,2645.1,3251270,28191.872,38.89960213,-77.02734837
13,1,1101 VERMONT AVE INVESTORS LLC, ,PO BOX 1368, ,"CARLSBAD, CA 92018-1368",1101 Vermont,1101 VERMONT AV NW,1101 VERMONT AVE INVESTORS LLC,1982,Office,208294,78,67.7,68,188.1,188.4,1437.4,6.900822875,3138.5,3059195,21777.032,38.9040066,-77.03246122
109,1,1120 VERMONT AVE ASSOCIATES LLP,SYLVAN C HERMAN,1120 VERMONT AVE NW, ,"WASHINGTON, DC 20005-3523",1120 Vermont Avenue,1120 VERMONT AV NW,1120 VERMONT AVE ASSOCIATES LLP,1979,Office,666961,93,94.4,94.6,283.3,283.5,5822.8,8.730345552,7413.5,13086380,31734.103,38.90492406,-77.03295243
105,1,1125 15TH STREET LLC, ,1120 VERMONT AVE NW STE 900, ,"WASHINGTON, DC 20005-3532",1125 15th Street,1125 15TH ST NW,1125 15TH STREET LLC,1969,Office,364500,92,45.1,45.1,141.5,141.5,1627.9,4.46611797,3417.7,3767590,0,38.90450525,-77.03400251
879,2,1133 20TH ST BUILDING CORP, ,1133 20TH ST NW, ,"WASHINGTON, DC 20036-3408",1133 20th Street Building Corp,1133 20TH ST NW,1133 20TH ST BUILDING CORP,1985,Office,165577,55,76,76,238.6,238.8,1234,7.452725922,1530.8,2856025,0,38.90495264,-77.04449291
103,1,1133 FIFTEENTH STREET LLC,CLARK REALTY INC,7500 OLD GEORGETOWN RD, ,"BETHESDA, MD 20814-6133",1133 15th Street,1133 15TH ST NW,1133 FIFTEENTH STREET LLC,1969,Office,286200,83,65.4,70.2,220.5,220.3,1607.87,5.61799441,1906.5,4134394.8,0,38.90485327,-77.03400267
907,2,1137 19TH STREET ASSOCIATES LLC,TOWER CONSTRUCTION,2000 TOWER OAKS BLVD FL 9, ,"ROCKVILLE, MD 20852-4282",Verizon - 1133 19th St,1137 - 1141 19TH ST NW,1137 19TH STREET ASSOCIATES,2000,Office,275585,62,82,122.2,383.6,273.9,2876.19,10.43667108,4873.2,5952775.2,0,38.90478566,-77.04291504
81,1,1140 19TH LLC,ROCKROSE DEVELOPMENT CORP,15 E 26TH ST FL 7, ,"NEW YORK, NY 10010-1503",1140 19th Street NW,1140 19TH ST NW,AREP 1140 19TH STREET LLC,1977,Office,82821,25,73,72,230,226,712,8.596853455,"2,758",1557984,0,38.90495983,-77.04389254
860,2,1152 15TH STREET GROUND LLC,CP COLUMBIA CENTER LLC,1776 EYE ST NW STE 500, ,"WASHINGTON, DC 20006-3716",Columbia Center,1152 15TH ST,MR COLUMBIA CENTER INVESTORS LLC,2007,Office,425568,84,51.6,51.6,161.9,161.9,2836.2,6.66450485,7694.5,6563993,0,38.90491128,-77.03520904
79,1,1156 FIFTEENTH LLC, ,1620 I ST NW, ,"WASHINGTON, DC 20006-4005",1156 Fifteenth LLC,1156 15TH ST NW,1156 FIFTEENTH LLC,1967,Office,260598,81,75.2,76.1,177.2,178.3,1424.9,5.467808655,"3,720",2468050,3451.437,38.90538034,-77.0350404
8,1,1200 3RD STREET LLC, ,1055 THOMAS JEFFERSON ST NW, ,"WASHINGTON, DC 20007-5259","Central Armature Works, Inc.",1200 3RD ST NE,CENTRAL ARMATURE WORKS INC,1990,Manufacturing/Industrial Plant,62023,0,76,74,145,142,405,6.529835706,507,568112,27428,38.90638048,-77.00263477
49,1,1200 K ST I CO LLC, ,PO BOX 4900, ,"SCOTTSDALE, AZ 85261-4900",1200 K Street,1200 K ST NW,1200 K ST I CO LLC,1992,Office,567863,93,63,63,198,198,3617,6.369494051,"5,388",7879886,3377,38.90212278,-77.02864669
77,1,1200 NINETEENTH STREET LLC,HINES,1200 19TH ST NW STE 260, ,"WASHINGTON, DC 20036-2417",1200 Nineteenth Street Benchmarking,1200 19TH ST,1200 NINETEENTH STREET LLC,1964,Office,321408,89,58,58,164,164,2513,7.81872262,"6,003",5129180,32049,38.90610681,-77.04391403
832,2,1201 F STREET LLC,TISHMAN SPEYER,45 ROCKEFELLER PLZ, ,"NEW YORK, NY 10111-0100",1201 F Street NW,1201 F ST NW,1201 F STREET LLC,2000,Office,325757,79,62,62,194.1,194.1,1991,6.111917779,6293.9,4349313,835.3178106,38.89765834,-77.02852915
37,1,1201 LAND LP,SUITE 240,1201 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20004-2401",1201 Pennsylvania Ave.,1201 PENNSYLVANIA AV NW,1201 LAND LP,1981,Office,642329,34,103,103,308,308,5598,8.715159988,"15,975",11903000,30425,38.89570835,-77.02868335
818,2,1201-1225 NEW YORK AVE SPE LLC,JONES LANG SASALLE AMERICAS,1201 NEW YORK AVE NW STE 100, ,"WASHINGTON, DC 20005-6192",1201& 1225  New York Ave.,1201 NEW YORK AV NW,1201-1225 NEW YORK AVE SPE LLC,1988,Office,554384,85,57.3,57.4,169.2,169.4,3511.2,6.333516119,6374.2,7806536,26014.581,38.90098105,-77.02858197
48,1,1215 I STREET NW ASSOCS LTD PARTNERSHIP,THOMSON PROPERTY TAX SERVICES,PO BOX 56607, ,"ATLANTA, GA 30343-0607",1201 Eye Street,1201 I ST,1215 I STREET NW ASSOCS LTD PARTNERSHIP,2002,Office,274387,89,52,52,164,164,2141,7.802847803,"2,853",4687734,0,38.90164893,-77.02855962
27,1,1230 LLC,KEENER MGMT INC,1746 N ST NW, ,"WASHINGTON, DC 20036-2907",Sutton Plaza,1230 13TH ST NW,1230 LLC,1963,Multifamily Housing,120786,60,74,74.3,136,135.8,722.3,5.979997682,8443.8,987824.6,55687.403,38.90656976,-77.03010376
196,1,1230 NEW HAMPSHIRE LLC,ARIA INVESTMENT GROUP,150 E 58TH ST FL 28, ,"NEW YORK, NY 10155-0002",The Bond,1230 NEW HAMPSHIRE AV,1230 NEW HAMPSHIRE LLC,2012,Multifamily Housing,165495,99,29,29,77,76,551,3.329405722,"111,386",1080571,10751,38.90619708,-77.04719213
831,2,12TH & G STREETS ASSOCIATES,LANDOW & CO,4710 BETHESDA AVE, ,"BETHESDA, MD 20814-5213","1200 G Street, NW",1200 G ST NW,12TH & G STREETS ASSOCIATES,1991,Office,269751,69,77,77,231,231,1941,7.195524762,"4,501",4133667,10046,38.89801175,-77.02851874
32,1,12TH & L STREET LTD PARTNERSHIP,SUITE 801,1150 CONNECTICUT AVE NW, ,"WASHINGTON, DC 20036-4104",1100L,1020 11TH ST NW,12TH & L STREET LTD,1972,Office,474371,79,76.1,76,203.7,203.5,2967.1,6.254809,5800.9,5967049,64283,38.90347855,-77.02757766
830,2,1301 K STREET LP, ,1301 K ST NW STE 1180W, ,"WASHINGTON, DC 20005-7020",One Franklin Square 2,1301 K ST NW,1301 K STREET LP,1990,Office,81989,88,49,49,150,150,4125,50.31162717,"5,624",8934142,8267,38.90292643,-77.03056431
47,1,1301 NEW YORK OWNER LLC,NAKASH HOLDINGS/JORDACHE,1400 BROADWAY FL 15, ,"NEW YORK, NY 10018-5300",1301 New York Ave,1301 NEW YORK AV NW,1301 NEW YORK OWNER LLC,1983,Office,257822,93,51,51,159,159,1408,5.461132099,"5,725",3056993,2231,38.90055963,-77.03003291
835,2,"1301 TRUSTEE, LLC AS TRUSTEE", ,1001 G ST NW # 900, ,"WASHINGTON, DC 20001-4545",1301 Pennsylvania Ave. NW,1301 E ST NW,1301 ASSOCIATES,1981,Office,351975,82,68.4,68.4,214.5,214.5,2006.6,5.70097308,4105.3,4641008,253.461,38.89659004,-77.03002412
827,2,1301 VERMONT LLC,WILLIAM C SMITH/JOHN RITZ,1100 NEW JERSEY AVE SE STE, ,"WASHINGTON, DC 20003-3350",1301 VERMONT AVE LLC,1301 VERMONT AV NW,1301 VERMONT LLC,1940,Multifamily Housing,70406,2,101,101,203,203,642,9.118541033,"3,711",956510,38673,38.90751095,-77.0305066
810,2,1329-1337 FT STEVENS DR LLC, ,1111 14TH ST NW, ,"WASHINGTON, DC 20005-5603","1329-1337 Ft. Stevens Drive, NW",1329 - 1337 FORT STEVENS DR NW,1329-1337 FT STEVENS DR LLC,1942,Multifamily Housing,64692,57,75,75,108,108,332,5.13201014,"5,519",268962,39349,38.96477248,-77.03172562
18,1,1330 SEVENTH STREET LIMIITED PARTNERSHIP, ,1330 7TH ST NW APT 902, ,"WASHINGTON, DC 20001-3536",1330 Seventh Street,1330 7TH ST NW,1330 SEVENTH STREET LIMIITED PARTNERSHIP,1960,Multifamily Housing,145200,29,79.1,79.4,155,155.2,977.1,6.729338843,7089.7,1464000,64906.467,38.90773096,-77.02224789
13,1,1350 CONNECTICUT AVE LP,PETER NG SCHWARTZ/STE 1200,1350 CONNECTICUT AVE NW, ,"WASHINGTON, DC 20036-1722",The Triangle Building,1350 CONNECTICUT AV NW Unit: 1200,1350 CONNECTICUT AVE LP,1928,Office,239502,59,72.5,72.5,227.7,227.7,1806.7,7.543569574,6272.1,3955456,0,38.90831126,-77.04303647
857,2,1350 EYE CO-TENANT LLC,CBRE INC,1350 I ST NW STE 840, ,"WASHINGTON, DC 20005-3344",1350 I Street NW,1350 I ST NW,1350 EYE CO-TENANT LLC,1989,Office,156951,77,61,61,190,190,3261,20.77718524,"4,787",7138813,0,38.9010144,-77.03131727
836,2,1368 EUCLID STREET LP, ,1551 E MAIN ST, ,"RICHMOND, VA 23219-3633",The Olympia,1368 EUCLID ST NW,1368 EUCLID STREET LP,1898,Multifamily Housing,64819,40,42,41,133,130,366,5.646492541,"2,740",802268,0,38.92353477,-77.031683
861,2,13TH & F ASSOCIATES LP & WMATA, ,555 13TH ST NW STE 420W, ,"WASHINGTON, DC 20004-1126",Columbia Square-2,F ST,13TH & F ASSOCIATES LP & WMATA,1987,Office,637000,64,77,77,238,238,6848,10.75039246,"12,899",14853030,12034,38.8969252,-77.02880745
42,1,13TH AND L ASSOCIATES,CBRE,1220 L ST NW UNIT B1, ,"WASHINGTON, DC 20005-4018",1220 L Street,1220 L ST NW,13TH AND L ASSOCIATES,1983,Office,369164,86,50.5,50.5,158.5,158.5,2040,5.525999285,4406.8,4721322,0,38.90338335,-77.02913987
77,1,1401 EYE HOLDINGS LLC,CUSHMAN & WAKEFIELD,1401 I ST NW STE 515, ,"WASHINGTON, DC 20005-6559",Franklin Tower,1401 I ST,SRI EIGHT FRANKLIN TOWER LLC,1991,Office,315944,80,64.9,64.9,203.9,203.9,1806,5.716202871,2924.8,4179776,0,38.90166403,-77.03241454
103,1,1425 P STREET LLC, ,805 15TH ST NW STE 230, ,"WASHINGTON, DC 20005-2207",The Hudson,1425 P ST,1425 P STREET LLC,2003,Multifamily Housing,121250,0,37,37,97,97,509,4.197938144,"3,559",976876,11850,38.9099202,-77.03295515
25,1,1440 NEW YORK AVENUE CORPORATION,STE:  LOWER LEVEL,1440 NEW YORK AVE NW, ,"WASHINGTON, DC 20005-2111",0223-0025_NYAVE,1435 G ST NW,1440 NEW YORK AVENUE CORPORATION,1927,Office,228254,72,64,64,201,201,1950,8.54311425,"3,933",4269798,0,38.89861805,-77.03306034
